series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
4,8192,sorted,19,0.0717725,4.1e-08,4.1e-11,0.021508167,2.1508167e-05,0.000644916,4.2e-08,4.2e-11,0.00022425,2.2425e-07,0,0
4,8192,sorted,20,0.081615916,4.2e-08,4.2e-11,0.022876875,2.2876875e-05,0.000625875,0,0,0.000235458,2.35458e-07,0,0
5,16384,random,1,0.001888334,4.1e-08,4.1e-11,0.000150375,1.50375e-07,0.002662292,4.2e-08,4.2e-11,0.00020275,2.0275e-07,0,0
5,16384,random,2,0.001980167,4.1e-08,4.1e-11,0.000155917,1.55917e-07,0.002680041,0,0,0.000200417,2.00417e-07,4.1e-08,4.1e-11
5,16384,random,3,0.002000291,4.2e-08,4.2e-11,0.0001565,1.565e-07,0.002615417,0,0,0.00020125,2.0125e-07,4.2e-08,4.2e-11
5,16384,random,4,0.001867583,4.1e-08,4.1e-11,0.000161792,1.61792e-07,0.00261425,0,0,0.0002155,2.155e-07,4.1e-08,4.1e-11
5,16384,random,5,0.001922,4.2e-08,4.2e-11,0.000169375,1.69375e-07,0.002752958,0,0,0.000227292,2.27292e-07,4.2e-08,4.2e-11
5,16384,random,6,0.00186125,4.1e-08,4.1e-11,0.000155042,1.55042e-07,0.002605166,0,0,0.000203834,2.03834e-07,4.1e-08,4.1e-11
5,16384,random,7,0.001870375,4.2e-08,4.2e-11,0.000209416,2.09416e-07,0.002618292,4.2e-08,4.2e-11,0.000199458,1.99458e-07,4.1e-08,4.1e-11
5,16384,random,8,0.001958375,0,0,0.00017625,1.7625e-07,0.002721208,4.1e-08,4.1e-11,0.000205666,2.05666e-07,4.2e-08,4.2e-11
5,16384,random,9,0.001856125,4.1e-08,4.1e-11,0.000150917,1.50917e-07,0.002610458,4.2e-08,4.2e-11,0.000202834,2.02834e-07,0,0
5,16384,random,10,0.002030792,4.2e-08,4.2e-11,0.000174791,1.74791e-07,0.002756,0,0,0.000209458,2.09458e-07,4.2e-08,4.2e-11
5,16384,sorted,11,0.34324425,4.2e-08,4.2e-11,0.043031666,4.3031666e-05,0.00130825,4.2e-08,4.2e-11,0.000354917,3.54917e-07,0,0
5,16384,sorted,12,0.302738625,0,0,0.042331,4.2331e-05,0.001338708,4.2e-08,4.2e-11,0.000311833,3.11833e-07,4.1e-08,4.1e-11
5,16384,sorted,13,0.305988084,4.2e-08,4.2e-11,0.0418845,4.18845e-05,0.001443416,4.2e-08,4.2e-11,0.000311875,3.11875e-07,4.2e-08,4.2e-11
5,16384,sorted,14,0.336527333,4.2e-08,4.2e-11,0.04278725,4.278725e-05,0.001389167,4.2e-08,4.2e-11,0.000340083,3.40083e-07,4.1e-08,4.1e-11
5,16384,sorted,15,0.346768792,4.2e-08,4.2e-11,0.04440525,4.440525e-05,0.001352917,4.1e-08,4.1e-11,0.000307167,3.07167e-07,4.2e-08,4.2e-11
5,16384,sorted,16,0.331140041,4.2e-08,4.2e-11,0.045659208,4.5659208e-05,0.001416209,0,0,0.000298333,2.98333e-07,0,0
5,16384,sorted,17,0.338064375,4.1e-08,4.1e-11,0.042678042,4.2678042e-05,0.001385292,0,0,0.000281625,2.81625e-07,4.1e-08,4.1e-11
5,16384,sorted,18,0.3301625,4.2e-08,4.2e-11,0.044439417,4.4439417e-05,0.001383042,4.1e-08,4.1e-11,0.000293875,2.93875e-07,0,0
5,16384,sorted,19,0.288452167,0,0,0.041666833,4.1666833e-05,0.001316417,4.1e-08,4.1e-11,0.000317875,3.17875e-07,4.2e-08,4.2e-11
5,16384,sorted,20,0.304082708,0,0,0.042333834,4.2333834e-05,0.001435208,4.2e-08,4.2e-11,0.000285959,2.85959e-07,4.1e-08,4.1e-11
6,32768,random,1,0.00452275,0,0,0.00023025,2.3025e-07,0.006278958,4.2e-08,4.2e-11,0.000260458,2.60458e-07,4.2e-08,4.2e-11
6,32768,random,2,0.004591958,4.2e-08,4.2e-11,0.000207709,2.07709e-07,0.006227125,0,0,0.00024525,2.4525e-07,0,0
6,32768,random,3,0.004635791,4.1e-08,4.1e-11,0.000210375,2.10375e-07,0.00615225,4.2e-08,4.2e-11,0.0002335,2.335e-07,0,0
6,32768,random,4,0.004655334,0,0,0.000187333,1.87333e-07,0.005971917,4.2e-08,4.2e-11,0.000224792,2.24792e-07,0,0
6,32768,random,5,0.00466325,4.1e-08,4.1e-11,0.000176417,1.76417e-07,0.005994125,0,0,0.000224667,2.24667e-07,4.1e-08,4.1e-11
6,32768,random,6,0.004502458,4.2e-08,4.2e-11,0.000200709,2.00709e-07,0.006167375,0,0,0.000237625,2.37625e-07,4.2e-08,4.2e-11
6,32768,random,7,0.004601458,4.2e-08,4.2e-11,0.00018525,1.8525e-07,0.005971208,0,0,0.000223625,2.23625e-07,0,0
6,32768,random,8,0.004424834,0,0,0.000192417,1.92417e-07,0.006004708,0,0,0.000224792,2.24792e-07,4.1e-08,4.1e-11
6,32768,random,9,0.004407,0,0,0.0001885,1.885e-07,0.006148208,4.2e-08,4.2e-11,0.00024475,2.4475e-07,4.1e-08,4.1e-11
6,32768,random,10,0.004610042,4.2e-08,4.2e-11,0.000204458,2.04458e-07,0.00621125,0,0,0.000229167,2.29167e-07,4.2e-08,4.2e-11
6,32768,sorted,11,1.245164666,4.2e-08,4.2e-11,0.080442375,8.0442375e-05,0.003031834,0,0,0.000382917,3.82917e-07,4.2e-08,4.2e-11
6,32768,sorted,12,1.143566875,4.2e-08,4.2e-11,0.079798417,7.9798417e-05,0.003176375,4.2e-08,4.2e-11,0.00034525,3.4525e-07,0,0
6,32768,sorted,13,1.205231334,4.1e-08,4.1e-11,0.081007125,8.1007125e-05,0.003091083,4.2e-08,4.2e-11,0.000428708,4.28708e-07,4.2e-08,4.2e-11
6,32768,sorted,14,1.181354958,4.2e-08,4.2e-11,0.081303458,8.1303458e-05,0.003059375,4.2e-08,4.2e-11,0.000380666,3.80666e-07,4.2e-08,4.2e-11
6,32768,sorted,15,1.160325458,4.1e-08,4.1e-11,0.080823917,8.0823917e-05,0.002910208,4.2e-08,4.2e-11,0.00049975,4.9975e-07,4.2e-08,4.2e-11
6,32768,sorted,16,1.163150625,0,0,0.080966417,8.0966417e-05,0.002856125,0,0,0.000451875,4.51875e-07,4.2e-08,4.2e-11
6,32768,sorted,17,1.327505334,4.1e-08,4.1e-11,0.08319,8.319e-05,0.002972541,4.2e-08,4.2e-11,0.000380125,3.80125e-07,4.1e-08,4.1e-11
6,32768,sorted,18,1.141879042,4.2e-08,4.2e-11,0.081898709,8.1898709e-05,0.002893708,4.1e-08,4.1e-11,0.000349542,3.49542e-07,0,0
6,32768,sorted,19,1.22852325,4.1e-08,4.1e-11,0.08006075,8.006075e-05,0.003184375,4.2e-08,4.2e-11,0.000424084,4.24084e-07,4.1e-08,4.1e-11
6,32768,sorted,20,1.34150175,4.2e-08,4.2e-11,0.08264375,8.264375e-05,0.002965291,4.1e-08,4.1e-11,0.000409084,4.09084e-07,0,0
7,65536,random,1,0.010868834,4.2e-08,4.2e-11,0.00023625,2.3625e-07,0.013317542,0,0,0.000249125,2.49125e-07,4.2e-08,4.2e-11
7,65536,random,2,0.010523291,4.1e-08,4.1e-11,0.000220125,2.20125e-07,0.01324075,4.2e-08,4.2e-11,0.00024925,2.4925e-07,4.2e-08,4.2e-11
7,65536,random,3,0.010957833,0,0,0.000225041,2.25041e-07,0.013920083,4.2e-08,4.2e-11,0.000261209,2.61209e-07,4.2e-08,4.2e-11
7,65536,random,4,0.010966542,4.2e-08,4.2e-11,0.000224417,2.24417e-07,0.01387325,4.2e-08,4.2e-11,0.000260333,2.60333e-07,0,0
7,65536,random,5,0.011086959,4.2e-08,4.2e-11,0.000211,2.11e-07,0.013176584,0,0,0.000252541,2.52541e-07,4.2e-08,4.2e-11
7,65536,random,6,0.010787625,0,0,0.000225167,2.25167e-07,0.013918666,4.2e-08,4.2e-11,0.000262792,2.62792e-07,4.2e-08,4.2e-11
7,65536,random,7,0.010934833,4.2e-08,4.2e-11,0.000218625,2.18625e-07,0.013396208,4.1e-08,4.1e-11,0.000252125,2.52125e-07,4.2e-08,4.2e-11
7,65536,random,8,0.010866458,4.2e-08,4.2e-11,0.000221334,2.21334e-07,0.01390975,4.2e-08,4.2e-11,0.000261417,2.61417e-07,4.1e-08,4.1e-11
7,65536,random,9,0.011003792,4.1e-08,4.1e-11,0.00023375,2.3375e-07,0.013950917,4.2e-08,4.2e-11,0.000264,2.64e-07,0,0
7,65536,random,10,0.010615583,4.2e-08,4.2e-11,0.000212417,2.12417e-07,0.013340125,0,0,0.000254875,2.54875e-07,4.2e-08,4.2e-11
7,65536,sorted,11,4.810903583,4.2e-08,4.2e-11,0.159499,0.000159499,0.006979916,4.1e-08,4.1e-11,0.000673708,6.73708e-07,0,0
7,65536,sorted,12,4.678313625,4.1e-08,4.1e-11,0.161360875,0.000161360875,0.007272125,4.2e-08,4.2e-11,0.000553333,5.53333e-07,4.2e-08,4.2e-11
7,65536,sorted,13,4.684860708,4.2e-08,4.2e-11,0.1577235,0.0001577235,0.006677417,4.1e-08,4.1e-11,0.000751792,7.51792e-07,4.2e-08,4.2e-11
7,65536,sorted,14,4.653050708,0,0,0.155536458,0.000155536458,0.00702,4.2e-08,4.2e-11,0.000538666,5.38666e-07,4.1e-08,4.1e-11
7,65536,sorted,15,4.784095041,4.2e-08,4.2e-11,0.160388791,0.000160388791,0.006866083,4.2e-08,4.2e-11,0.000599458,5.99458e-07,0,0
7,65536,sorted,16,4.740697792,4.2e-08,4.2e-11,0.15970775,0.00015970775,0.0071265,4.1e-08,4.1e-11,0.000639208,6.39208e-07,0,0
7,65536,sorted,17,4.626149708,0,0,0.161228667,0.000161228667,0.00647225,4.1e-08,4.1e-11,0.000899667,8.99667e-07,4.2e-08,4.2e-11
7,65536,sorted,18,4.713446083,4.2e-08,4.2e-11,0.164463375,0.000164463375,0.006632916,0,0,0.000755,7.55e-07,4.2e-08,4.2e-11
7,65536,sorted,19,4.665037542,4.2e-08,4.2e-11,0.163308417,0.000163308417,0.00695,0,0,0.000570416,5.70416e-07,0,0
7,65536,sorted,20,4.78757775,0,0,0.160945292,0.000160945292,0.006902708,0,0,0.000607959,6.07959e-07,4.2e-08,4.2e-11
8,131072,random,1,0.026054208,4.1e-08,4.1e-11,0.000432834,4.32834e-07,0.031289792,4.2e-08,4.2e-11,0.000402334,4.02334e-07,0,0
8,131072,random,2,0.024089042,0,0,0.000676417,6.76417e-07,0.029927375,4.1e-08,4.1e-11,0.000604291,6.04291e-07,4.2e-08,4.2e-11
8,131072,random,3,0.025129667,4.1e-08,4.1e-11,0.000414917,4.14917e-07,0.030277583,0,0,0.0003835,3.835e-07,4.1e-08,4.1e-11
8,131072,random,4,0.025740375,4.2e-08,4.2e-11,0.00042675,4.2675e-07,0.029801333,0,0,0.000305416,3.05416e-07,0,0
8,131072,random,5,0.02465575,4.2e-08,4.2e-11,0.000427208,4.27208e-07,0.030571083,4.2e-08,4.2e-11,0.000344292,3.44292e-07,0,0
